    14>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_arrayd\doctest_arrayd.cpp(35,19): warning C4244: '=': conversion from 'double' to 'float', possible loss of data [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_arrayd\doctest_arrayd.vcxproj]
    14>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_arrayd\doctest_arrayd.cpp(53,23): warning C4244: '=': conversion from 'double' to 'float', possible loss of data [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_arrayd\doctest_arrayd.vcxproj]
    14>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_arrayd\doctest_arrayd.cpp(85,22): warning C4244: '=': conversion from 'double' to 'float', possible loss of data [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_arrayd\doctest_arrayd.vcxproj]
    14>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_arrayd\doctest_arrayd.cpp(112,19): warning C4244: '=': conversion from 'double' to 'float', possible loss of data [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_arrayd\doctest_arrayd.vcxproj]
    14>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_arrayd\doctest_arrayd.cpp(166,13): warning C4244: '=': conversion from 'int' to 'float', possible loss of data [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_arrayd\doctest_arrayd.vcxproj]
    15>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.test\rational_test.cpp(75,5): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.test\rational_test.vcxproj]
    10>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd.cpp(92,59): warning C4305: 'argument': truncation from 'int' to 'const bool' [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd.vcxproj]
    10>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd.cpp(102,59): warning C4305: 'argument': truncation from 'int' to 'const bool' [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd.vcxproj]
    10>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd.cpp(114,39): warning C4305: 'argument': truncation from 'unsigned __int64' to 'const bool' [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd.vcxproj]
     7>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.thirdparty\doctest\doctest.h(1528,9): warning C4805: '==': unsafe mix of type 'const int' and type 'T' in operation [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.test\complex_test.vcxproj]
D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.thirdparty\doctest\doctest.h(1528,9): warning C4805:         with [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.test\complex_test.vcxproj]
D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.thirdparty\doctest\doctest.h(1528,9): warning C4805:         [ [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.test\complex_test.vcxproj]
D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.thirdparty\doctest\doctest.h(1528,9): warning C4805:             T=bool [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.test\complex_test.vcxproj]
D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.thirdparty\doctest\doctest.h(1528,9): warning C4805:         ] [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.test\complex_test.vcxproj]
     4>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd_moveable.cpp(19,44): warning C4305: 'argument': truncation from 'int' to 'const bool' [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd_m.vcxproj]
     4>D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd_moveable.cpp(27,44): warning C4305: 'argument': truncation from 'int' to 'const bool' [D:\projects\misis2026-check\misis2026s-25-03-tabakov-m-e.git\build.check\prj.check\prj.check\doctest_bitsetd\doctest_bitsetd_m.vcxproj]
